_id,id,href,name,description,lifecycleStatus,version,category,validFor,location,resourceSpecification,productOfferingPrice,serviceLevelAgreement,relatedParty,lastUpdate
605288e894fad1c7b061cec1,476004,edgeResourceDID,physical node,EDGE resource (physical),Active,v2,['edge'],"{'endDateTime': '2020-10-19T00:00', 'startDateTime': '2020-05-3T00:00'}",patras,"{'id': 'fe856e33-a95f-4722-b7ff-ff2d4e68fa57', 'href': 'string', 'category': 'edge compute', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': 'd614188e-7a42-411e-b9f1-a320997fe798', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The number of cpu cores of the edge resource.', 'congigurable': 'false', 'extensible': 'false', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': '', 'value': 2, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}, {'id': '11f522b5-4758-48aa-8862-47643379af47', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The core cpu frequency (MHz) of the edge resource.', 'congigurable': 'false', 'extensible': 'true', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': 'MHz', 'value': 2350, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}, {'id': '75d5504f-db8f-4072-87c9-90b21b67f7ad', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The memory size of the edge resource expressed in MB.', 'congigurable': 'false', 'extensible': 'true', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'MB', 'value': 512, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}","[{'name': 'Monthly Price', 'description': 'monthly price', 'id': '3872', 'href': 'http://serverlocation:port/catalogManagement/productOfferingPrice/161', '@type': 'ProductOfferingPrice', '@schemaLocation': 'http://serverlocation:port/catalogManagement/schema/ProductOfferingPrice.yml', '@baseType': '', 'isBundle': 'false', 'version': '1.0', 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}, 'priceType': 'recurring', 'unitOfMeasure': '', 'recurringChargePeriod': 'monthly', 'price': {'dutyFreeAmount': 100, 'percentage': 0.0, 'taxIncludedAmount': 123.0, 'taxRate': 23}}]","{'id': '2989', 'href': 'https://mycsp.com:8080/tmf-api/slaManagement/v4/sla/8082', 'name': 'Gold SLA for Business', '@referredType': 'BusinessSLA', 'type': 'mc', 'server': 'mc3-sfn-atl.fibernet-tv.com:8088', 'time': 1589359556395, 'requests': 3120, 'hits': 45}",,
605288e894fad1c7b061cec2,794519,edgeResourceDID,virtual node,EDGE resource (virtual),Active,v2,['edge'],"{'endDateTime': '2020-10-19T00:00', 'startDateTime': '2020-05-3T00:00'}",virtual resource has no fixed location,"{'id': '86ccb687-c480-469d-a0b6-fcceee434768', 'href': 'string', 'category': 'edge compute', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': 'd58d4a22-8b47-4018-a3cf-c8e78882f6e6', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The number of cpu cores of the edge resource.', 'congigurable': 'false', 'extensible': 'true', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': '', 'value': 1, 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}], 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}, {'id': '810e470e-8514-49e6-94b8-21608f0eab33', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The core cpu frequency (MHz) of the edge resource.', 'congigurable': 'false', 'extensible': 'false', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': 'MHz', 'value': 1340, 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}], 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}, {'id': '1eb7892c-f8bc-4927-bee3-a4f8549bc97a', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The memory size of the edge resource expressed in MB.', 'congigurable': 'false', 'extensible': 'true', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'MB', 'value': 4096, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}","[{'name': 'Monthly Price', 'description': 'monthly price', 'id': '2622', 'href': 'http://serverlocation:port/catalogManagement/productOfferingPrice/161', '@type': 'ProductOfferingPrice', '@schemaLocation': 'http://serverlocation:port/catalogManagement/schema/ProductOfferingPrice.yml', '@baseType': '', 'isBundle': 'true', 'version': '1.0', 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}, 'priceType': 'recurring', 'unitOfMeasure': '', 'recurringChargePeriod': 'monthly', 'price': {'dutyFreeAmount': 50, 'percentage': 0.0, 'taxIncludedAmount': 61.0, 'taxRate': 22}}]","{'id': '179', 'href': 'https://mycsp.com:8080/tmf-api/slaManagement/v4/sla/8082', 'name': 'Standard SLA', '@referredType': 'ServiceLevelAgreement', 'type': 'mc', 'server': 'mc4-sfn-atl.fibernet-tv.com:8087', 'time': 1389355557064, 'requests': 3900, 'hits': 89}",,
605288e894fad1c7b061cec3,997146,edgeResourceDID,physical node,EDGE resource (physical),Active,v2,['edge'],"{'endDateTime': '2020-09-27T00:00', 'startDateTime': '2020-03-6T00:00'}",madrit,"{'id': '48808226-a763-407e-ac00-0501dc5925a5', 'href': 'string', 'category': 'edge storage', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': '58b49b5f-7e7c-4ba0-87a6-98c1c8e5d6d2', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The storage size of the edge resource expressed in GB.', 'congigurable': 'true', 'extensible': 'false', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'GB', 'value': 8, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}","[{'name': 'Monthly Price', 'description': 'monthly price', 'id': '1274', 'href': 'http://serverlocation:port/catalogManagement/productOfferingPrice/161', '@type': 'ProductOfferingPrice', '@schemaLocation': 'http://serverlocation:port/catalogManagement/schema/ProductOfferingPrice.yml', '@baseType': '', 'isBundle': 'true', 'version': '1.0', 'validFor': {'endDateTime': '2020-09-07T00:00', 'startDateTime': '2020-05-14T00:00'}, 'priceType': 'recurring', 'unitOfMeasure': '', 'recurringChargePeriod': 'monthly', 'price': {'dutyFreeAmount': 200, 'percentage': 0.0, 'taxIncludedAmount': 240.0, 'taxRate': 20}}]","{'id': '1032', 'href': 'https://mycsp.com:8080/tmf-api/slaManagement/v4/sla/8082', 'name': 'Standard SLA', '@referredType': 'ServiceLevelAgreement', 'type': 'mc', 'server': 'mc2-sfn-atl.fibernet-tv.com:8067', 'time': 1589359557064, 'requests': 6730, 'hits': 586}",,
605288e894fad1c7b061cec4,87305,edgeResourceDID,virtual node,EDGE resource (virtual),Active,v2,['edge'],"{'endDateTime': '2020-11-12T00:00', 'startDateTime': '2020-04-23T00:00'}",virtual resource has no fixed location,"{'id': 'bfe6fefb-6fc1-4ad5-a546-67264cd83f6d', 'href': 'string', 'category': 'edge storage', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': '2fd3f5b9-a42e-4b5a-9809-860c9e4605f5', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The storage size of the edge resource expressed in GB.', 'congigurable': 'false', 'extensible': 'false', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'GB', 'value': 8, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}","[{'name': 'Monthly Price', 'description': 'monthly price', 'id': '3612', 'href': 'http://serverlocation:port/catalogManagement/productOfferingPrice/161', '@type': 'ProductOfferingPrice', '@schemaLocation': 'http://serverlocation:port/catalogManagement/schema/ProductOfferingPrice.yml', '@baseType': '', 'isBundle': 'false', 'version': '1.0', 'validFor': {'endDateTime': '2020-06-03T00:00', 'startDateTime': '2020-05-23T00:00'}, 'priceType': 'recurring', 'unitOfMeasure': '', 'recurringChargePeriod': 'monthly', 'price': {'dutyFreeAmount': 50, 'percentage': 0.0, 'taxIncludedAmount': 61.0, 'taxRate': 22}}]","{'id': '2549', 'href': 'https://mycsp.com:8080/tmf-api/slaManagement/v4/sla/8082', 'name': 'Gold SLA for Business', '@referredType': 'BusinessSLA', 'type': 'mc', 'server': 'mc2-sfn-atl.fibernet-tv.com:8067', 'time': 1589359557235, 'requests': 3900, 'hits': 457}",,
605288e894fad1c7b061cec5,955223,edgeResourceDID,physical node,EDGE resource (physical),Active,v2,['edge'],"{'endDateTime': '2020-09-27T00:00', 'startDateTime': '2020-03-6T00:00'}",athens,"{'id': '7c4a0433-bdfd-4040-b2ca-3b53ad6a5826', 'href': 'string', 'category': 'edge compute', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': 'a3350a81-2789-4b06-b7db-a913444763e3', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The number of cpu cores of the edge resource.', 'congigurable': 'false', 'extensible': 'true', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': '', 'value': 1, 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}], 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}, {'id': 'c2d83428-dba2-41d2-b772-b6adc1d0b940', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The core cpu frequency (MHz) of the edge resource.', 'congigurable': 'true', 'extensible': 'false', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': 'MHz', 'value': 2400, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}, {'id': 'ac0b77bb-4327-43af-83fe-24886e9c0be6', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The memory size of the edge resource expressed in MB.', 'congigurable': 'true', 'extensible': 'false', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'MB', 'value': 1024, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}","[{'name': 'Monthly Price', 'description': 'monthly price', 'id': '1892', 'href': 'http://serverlocation:port/catalogManagement/productOfferingPrice/161', '@type': 'ProductOfferingPrice', '@schemaLocation': 'http://serverlocation:port/catalogManagement/schema/ProductOfferingPrice.yml', '@baseType': '', 'isBundle': 'true', 'version': '1.0', 'validFor': {'endDateTime': '2020-09-07T00:00', 'startDateTime': '2020-05-14T00:00'}, 'priceType': 'recurring', 'unitOfMeasure': '', 'recurringChargePeriod': 'monthly', 'price': {'dutyFreeAmount': 50, 'percentage': 0.0, 'taxIncludedAmount': 61.0, 'taxRate': 22}}]","{'id': '180', 'href': 'https://mycsp.com:8080/tmf-api/slaManagement/v4/sla/8082', 'name': 'Gold SLA for Business', '@referredType': 'BusinessSLA', 'type': 'mc', 'server': 'mc3-sfn-atl.fibernet-tv.com:8088', 'time': 1589359556395, 'requests': 3320, 'hits': 436}",,
605288e894fad1c7b061cec6,115309,edgeResourceDID,virtual node,EDGE resource (virtual),Active,v2,['edge'],"{'endDateTime': '2020-11-12T00:00', 'startDateTime': '2020-04-23T00:00'}",virtual resource has no fixed location,"{'id': 'bf072dab-2b7a-442c-bd15-43b33081c59a', 'href': 'string', 'category': 'edge network', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': 'c91f42ee-c6d7-49e7-af05-c20684e1fa55', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The network speed of the edge resource expressed in Mbps.', 'congigurable': 'true', 'extensible': 'true', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'Mbps', 'value': 100, 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}], 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}]}","[{'name': 'Monthly Price', 'description': 'monthly price', 'id': '2454', 'href': 'http://serverlocation:port/catalogManagement/productOfferingPrice/161', '@type': 'ProductOfferingPrice', '@schemaLocation': 'http://serverlocation:port/catalogManagement/schema/ProductOfferingPrice.yml', '@baseType': '', 'isBundle': 'false', 'version': '1.0', 'validFor': {'endDateTime': '2020-09-07T00:00', 'startDateTime': '2020-05-14T00:00'}, 'priceType': 'recurring', 'unitOfMeasure': '', 'recurringChargePeriod': 'monthly', 'price': {'dutyFreeAmount': 200, 'percentage': 0.0, 'taxIncludedAmount': 240.0, 'taxRate': 20}}]","{'id': '2460', 'href': 'https://mycsp.com:8080/tmf-api/slaManagement/v4/sla/8082', 'name': 'Gold SLA for Business', '@referredType': 'BusinessSLA', 'type': 'mc', 'server': 'mc1-sfn-atl.fibernet-tv.com:8087', 'time': 1589359557235, 'requests': 4620, 'hits': 944}",,
605288e894fad1c7b061cec7,259369,edgeResourceDID,physical node,EDGE resource (physical),Active,v2,['edge'],"{'endDateTime': '2020-09-27T00:00', 'startDateTime': '2020-03-6T00:00'}",athens,"{'id': '0b988593-d933-447f-90e4-581213f727ff', 'href': 'string', 'category': 'edge compute', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': '95f8d1ea-eae5-41e3-abab-f7516e390453', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The number of cpu cores of the edge resource.', 'congigurable': 'true', 'extensible': 'true', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': '', 'value': 1, 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}], 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}, {'id': '80506fc5-809b-46f4-927e-44df140d57a6', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The core cpu frequency (MHz) of the edge resource.', 'congigurable': 'true', 'extensible': 'false', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': 'MHz', 'value': 2350, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}, {'id': '5e700a01-6712-462f-b276-c3d9f716b940', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The memory size of the edge resource expressed in MB.', 'congigurable': 'false', 'extensible': 'false', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'MB', 'value': 512, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}","[{'name': 'Monthly Price', 'description': 'monthly price', 'id': '3653', 'href': 'http://serverlocation:port/catalogManagement/productOfferingPrice/161', '@type': 'ProductOfferingPrice', '@schemaLocation': 'http://serverlocation:port/catalogManagement/schema/ProductOfferingPrice.yml', '@baseType': '', 'isBundle': 'true', 'version': '1.0', 'validFor': {'endDateTime': '2020-06-03T00:00', 'startDateTime': '2020-05-23T00:00'}, 'priceType': 'recurring', 'unitOfMeasure': '', 'recurringChargePeriod': 'monthly', 'price': {'dutyFreeAmount': 50, 'percentage': 0.0, 'taxIncludedAmount': 61.0, 'taxRate': 22}}]","{'id': '2103', 'href': 'https://mycsp.com:8080/tmf-api/slaManagement/v4/sla/8082', 'name': 'Gold SLA for Business', '@referredType': 'BusinessSLA', 'type': 'mc', 'server': 'mc1-sfn-atl.fibernet-tv.com:8087', 'time': 1589359557626, 'requests': 3320, 'hits': 547}",,
605288e894fad1c7b061cec8,424149,edgeResourceDID,virtual node,EDGE resource (virtual),Active,v2,['edge'],"{'endDateTime': '2020-11-12T00:00', 'startDateTime': '2020-04-23T00:00'}",virtual resource has no fixed location,"{'id': '3134effe-49c3-4363-b520-4925bbb03090', 'href': 'string', 'category': 'edge compute', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': '61e0a413-d67c-47e6-98bd-da31d89acec8', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The number of cpu cores of the edge resource.', 'congigurable': 'true', 'extensible': 'true', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': '', 'value': 2, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}, {'id': 'c2d83428-dba2-41d2-b772-b6adc1d0b940', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The core cpu frequency (MHz) of the edge resource.', 'congigurable': 'true', 'extensible': 'false', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': 'MHz', 'value': 2400, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}","[{'name': 'Monthly Price', 'description': 'monthly price', 'id': '3003', 'href': 'http://serverlocation:port/catalogManagement/productOfferingPrice/161', '@type': 'ProductOfferingPrice', '@schemaLocation': 'http://serverlocation:port/catalogManagement/schema/ProductOfferingPrice.yml', '@baseType': '', 'isBundle': 'false', 'version': '1.0', 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}, 'priceType': 'recurring', 'unitOfMeasure': '', 'recurringChargePeriod': 'monthly', 'price': {'dutyFreeAmount': 50, 'percentage': 0.0, 'taxIncludedAmount': 61.0, 'taxRate': 22}}]","{'id': '2274', 'href': 'https://mycsp.com:8080/tmf-api/slaManagement/v4/sla/8082', 'name': 'Gold SLA for Business', '@referredType': 'BusinessSLA', 'type': 'mc', 'server': 'mc2-sfn-atl.fibernet-tv.com:8067', 'time': 1589359557345, 'requests': 4360, 'hits': 457}",,
605288e894fad1c7b061cec9,179122,edgeResourceDID,physical node,EDGE resource (physical),Active,v2,['edge'],"{'endDateTime': '2020-10-19T00:00', 'startDateTime': '2020-05-3T00:00'}",patras,"{'id': 'b6479e8b-aae5-4960-ab2e-d33690846d0f', 'href': 'string', 'category': 'edge network', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': '887695c9-c44d-4c09-8cb8-8ecd10b9d05e', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The network speed of the edge resource expressed in Mbps.', 'congigurable': 'true', 'extensible': 'false', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'Mbps', 'value': 100, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}","[{'name': 'Monthly Price', 'description': 'monthly price', 'id': '3697', 'href': 'http://serverlocation:port/catalogManagement/productOfferingPrice/161', '@type': 'ProductOfferingPrice', '@schemaLocation': 'http://serverlocation:port/catalogManagement/schema/ProductOfferingPrice.yml', '@baseType': '', 'isBundle': 'true', 'version': '1.0', 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}, 'priceType': 'recurring', 'unitOfMeasure': '', 'recurringChargePeriod': 'monthly', 'price': {'dutyFreeAmount': 200, 'percentage': 0.0, 'taxIncludedAmount': 240.0, 'taxRate': 20}}]","{'id': '160', 'href': 'https://mycsp.com:8080/tmf-api/slaManagement/v4/sla/8082', 'name': 'Standard SLA', '@referredType': 'ServiceLevelAgreement', 'type': 'mc', 'server': 'mc2-sfn-atl.fibernet-tv.com:8067', 'time': 1589359557345, 'requests': 4330, 'hits': 578}",,
605288e894fad1c7b061ceca,913852,edgeResourceDID,virtual node,EDGE resource (virtual),Active,v2,['edge'],"{'endDateTime': '2020-09-27T00:00', 'startDateTime': '2020-03-6T00:00'}",virtual resource has no fixed location,"{'id': '1daf2e0c-cdf3-4ba3-9af4-2d74049a51de', 'href': 'string', 'category': 'edge storage', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': 'f9a567fa-459b-493c-9cd0-ae828fcefb22', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The storage size of the edge resource expressed in GB.', 'congigurable': 'true', 'extensible': 'false', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'GB', 'value': 8, 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}], 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}]}","[{'name': 'Monthly Price', 'description': 'monthly price', 'id': '3056', 'href': 'http://serverlocation:port/catalogManagement/productOfferingPrice/161', '@type': 'ProductOfferingPrice', '@schemaLocation': 'http://serverlocation:port/catalogManagement/schema/ProductOfferingPrice.yml', '@baseType': '', 'isBundle': 'false', 'version': '1.0', 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}, 'priceType': 'recurring', 'unitOfMeasure': '', 'recurringChargePeriod': 'monthly', 'price': {'dutyFreeAmount': 200, 'percentage': 0.0, 'taxIncludedAmount': 240.0, 'taxRate': 20}}]","{'id': '3960', 'href': 'https://mycsp.com:8080/tmf-api/slaManagement/v4/sla/8082', 'name': 'Standard SLA', '@referredType': 'ServiceLevelAgreement', 'type': 'mc', 'server': 'mc2-sfn-atl.fibernet-tv.com:8067', 'time': 1589359557626, 'requests': 7655, 'hits': 97}",,
